Temperature,HeatIndex,WindSpeed,CloudCover,RelativeHumidity,Maximum Temperature,Minimum Temperature,Wind Direction,AQI
28.4,36.1,16.6,30.3,67.72,34,23,110.37,1
28.7,36.1,14.8,40.2,67.69,33,25,175.63,1
28,35.7,18.4,30.5,59.95,33.9,24,109.24,0
27.2,34.1,16.6,37.4,63.87,32,23,176,0
27.2,34.5,19.9,20.3,64.48,34,22,118.8,0
27.3,35.3,16.6,27.2,72.08,33,24,162.1,0
27.3,34.9,18.4,28,76.04,32,24,155,1
27.8,33.4,18.4,35.1,64.98,32.9,25,139.82,1
27.7,35,21.2,23.6,64.58,33.8,23,132.48,1
28,34.5,20.5,25.9,64.72,34,24.9,130.59,0
27.8,35.7,20.5,26.5,68.05,34,24,144.18,0
27.3,35.6,19.6,30.1,75.94,32,24,148,0
27.6,34.9,16,38.7,71.62,32,24.9,181.55,0
28.6,37.3,16.6,43.9,68.46,34,25,178.72,0
28.5,36.1,16.6,31.5,69.92,33,25,169,0
28.7,37.3,24.1,26.2,69.81,34,25,137.18,0
28,39.7,22.3,41.1,84.94,33,25,142.68,0
28.7,39.7,22.3,40.8,80.39,33,26,134.09,1
28.5,38.1,22.3,36.5,72.81,33,25,132.52,1
28.1,36.7,16.7,35.6,78.5,31.1,26,111.82,0
29,38.1,22.3,40.9,73.58,33,26,137.59,0
28.8,37.9,16.6,56.6,75.98,32,26.9,154.41,0
28.8,38.1,22.3,48.4,73.66,33,26,146.04,0
28.9,39,22.3,39.7,73.5,33.8,26,148.45,1
29.6,40.6,20.5,36.5,72.48,35,26,133.64,0
29.9,41.9,22.3,37.1,72.62,34,27,121.9,0
30,38.9,20.5,31.1,63.12,36,26,115.16,0
29.6,39.5,18.3,34.2,62.06,35,25,122.15,0
29.7,39.5,20.5,37.7,66.43,35,25,105.68,0
29.3,39.5,21.6,41.7,69.71,35,25,128.52,0
27.4,39.3,27.7,46.9,85.21,34,24,200.25,0
29.2,40.6,18.4,52.3,76.91,34,25,124.06,0
26.9,39.2,13,57.2,85.22,33.9,21,175.59,0
26.3,39.8,27.7,53.1,91.2,33,23,164.8,0
27,39.2,20.5,58.3,88.84,33,24,101.68,0
28.5,44.9,18.4,40.1,82.36,35,24,110.05,0
28.7,40.6,32,44.5,79.47,33,25,147.91,0
28.2,40.6,20.5,57.6,83.44,33,24.7,100.15,0
29.5,43.5,22.3,40.5,78.21,34,26.9,127.57,0
30.1,43.8,24.1,39,76.28,35,27,130.43,0
30,43.5,22.3,43.1,74.72,34,25.2,144.33,0
29.9,44.8,16.6,44.9,82.15,35,27,149.21,0
30.3,43,13.4,47.7,79.69,34,27,190.21,0
30.7,46,16.6,46,79.96,35,27.9,175,0
30.4,41.9,20.5,47.4,76.19,35,28,141.16,0
30.1,39.5,22.3,24.2,67.32,36,26,124.54,0
30.1,38.3,20.5,22.5,60.06,36,26.9,118.67,0
30,39.5,18.4,16.8,61.85,35,26.9,143.32,0
29.8,37.3,16.6,28.9,68.15,34,27,151.54,0
29.7,39.3,18.3,44.6,72.94,34,26.9,162.24,0
30.7,41.7,18.4,53,67.62,36,27,215.15,0
31,40.6,16.6,38.3,65.94,35,27.9,195.46,0
31,39.7,20.5,39.7,66.35,36,27.9,221.33,0
30.4,40.3,31.4,30.7,64.5,37,27,182.79,0
28.4,42.1,14.1,48,80.45,34,25.7,172.13,0
29.6,39.3,16,46.5,73.62,34,26,143,0
29.8,40.4,18.4,44.6,73.48,35,26,196.73,0
29.1,39.3,22.3,42.1,75.52,34,25,134.29,0
29.3,39.1,13,52.9,76.26,34,26.1,224.07,0
30.7,42.1,11.2,51.2,73.17,34,28,201.79,0
30.3,43.1,16.6,52.5,73.18,35,26,207.7,0
29.3,40.6,13,58.3,77.88,33.1,26,239.58,1
28.7,39.3,20.5,43.3,81.11,34,26,162.41,0
26.9,35.8,25.9,50.9,86.07,30,25,207.33,0
28.7,39.1,18.4,53,78.62,34,26,119.44,0
28.3,40.6,17.7,51.6,82.81,33,25,133.33,0
28.7,40.6,20.5,47.7,77.22,33,25,110.52,0
29.3,39.2,20.3,44.8,75.68,33,26,131.82,1
29.9,40.7,18.4,40.5,71.91,34.9,25,111.05,1
29.1,38.1,14.8,51.8,79.57,33,26,98.91,0
28.3,40.5,17.3,49,86.18,33,26,141.94,0
27.4,39.2,24.5,51.8,87.56,33,26,191.36,0
27.5,39.2,19.6,50.3,88.43,33,26,154.6,0
29.2,40.6,18.4,49.2,78.66,33.1,26,228.27,0
29.9,43.3,20.9,42.7,78.79,35,26,231.24,0
28.9,42,18.4,47.6,83.52,34,25.9,238.88,1
28.5,41.8,24.1,50.2,82.2,33.9,25,195.88,1
28.6,45.3,27.7,51.7,86.6,33,26,222.25,1
29.1,42.1,27.7,48.1,82.08,35,26,245.71,1
28.8,44.2,16.6,46,86.88,34,26.1,244.78,1
28.8,42.3,14.8,48.7,84.87,34.2,26,190.94,1
